"기준_년분기_코드","자치구_코드","자치구_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"20204","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20203","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20202","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20201","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20194","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20193","11410","서대문구","63165","37988","25177","133","8434","13745","14167","15339","11347","78","3720","7915","8478","9856","7941","55","4714","5830","5689","5483","3406"
"20214","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20224","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20192","11410","서대문구","63165","37988","25177","133","8434","13745","14167","15339","11347","78","3720","7915","8478","9856","7941","55","4714","5830","5689","5483","3406"
"20191","11410","서대문구","75573","37830","37743","214","13679","20151","18437","15097","7995","107","4775","9670","9507","8563","5208","107","8904","10481","8930","6534","2787"
"20191","11440","마포구","224391","123987","100404","991","46055","61847","53046","37752","24700","426","18767","35091","33299","21054","15350","565","27288","26756","19747","16698","9350"
"20192","11440","마포구","173771","102301","71470","536","29365","45671","41091","37689","19419","285","12531","26103","25792","24739","12851","251","16834","19568","15299","12950","6568"
"20224","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20214","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20193","11440","마포구","173771","102301","71470","536","29365","45671","41091","37689","19419","285","12531","26103","25792","24739","12851","251","16834","19568","15299","12950","6568"
"20194","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20201","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20202","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20203","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20204","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20211","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20212","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20213","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20221","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20222","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20223","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20214","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20192","11470","양천구","146577","90275","56302","405","21068","37658","37355","31582","18509","258","9771","23404","23625","19845","13372","147","11297","14254","13730","11737","5137"
